Pot_number,lineage,block,june_17,jun_21,june_24,june_27
1,TBF4,a,0,0,1,3
1,ANC2,a,0,0,0,0
1,PTZ3,a,0,0,1,3
2,DMS2,a,0,1,2,17
2,TBF2,a,0,5,16,16
2,PTZ4,a,0,0,1,8
3,CMB3,a,0,1,3,5
3,CMB1,a,0,0,2,12
3,PTZ2,a,0,0,1,14
4,CMB4,a,0,0,1,3
4,TBF3,a,0,0,3,13
4,DMS3,a,0,0,0,1
5,ANC4,a,0,0,3,13
5,DMS4,a,0,0,1,13
5,DMS1,a,0,0,2,8
6,water,a,0,0,0,0
6,ANC3,a,0,0,2,15
6,TBF1,a,0,0,0,2
7,ANC1,a,0,0,1,11
7,CMB2,a,0,1,3,11
7,PTZ1,a,0,0,1,2
8,CMB3,b,0,0,3,10
8,DMS3,b,0,0,1,1
8,water,b,0,0,0,0
9,ANC3,b,0,0,1,1
9,PTZ2,b,0,0,3,12
9,CMB2,b,0,0,1,3
10,ANC2,b,0,0,1,3
10,DMS1,b,0,0,1,1
10,DMS4,b,0,0,1,1
11,CMB4,b,0,4,16,16
11,PTZ3,b,0,2,15,16
11,PTZ4,b,0,0,1,15
12,TBF2,b,0,0,0,2
12,PTZ1,b,0,0,0,2
12,TBF1,b,0,0,1,2
13,CMB1,b,0,0,1,12
13,ANC4,b,0,0,0,0
13,DMS2,b,0,0,0,0
14,ANC1,b,0,0,1,11
14,TBF4,b,0,0,1,1
14,TBF3,b,0,1,1,10
15,CMB3,c,0,0,1,9
15,ANC3,c,0,0,0,2
15,ANC1,c,0,0,1,8
16,ANC4,c,0,3,16,17
16,CMB4,c,0,0,3,10
16,TBF2,c,0,4,14,16
17,TBF4,c,0,3,14,15
17,water,c,0,0,0,0
17,PTZ4,c,0,,,
18,TBF1,c,0,2,16,16
18,DMS2,c,0,0,14,15
18,TBF3,c,0,0,16,17
19,PTZ1,c,0,0,0,10
19,PTZ2,c,0,0,1,11
19,CMB2,c,0,1,2,10
20,DMS1,c,0,0,2,10
20,ANC2,c,0,1,9,11
20,CMB1,c,0,0,0,14
21,DMS3,c,0,0,6,14
21,PTZ3,c,0,0,6,14
21,DMS4,c,0,,,
22,ANC4,d,0,,,
22,ANC3,d,0,,,
22,DMS3,d,0,,,
23,PTZ2,d,0,2,5,12
23,PTZ3,d,0,0,1,4
23,DMS2,d,0,0,2,10
24,TBF4,d,0,1,4,12
24,DMS1,d,0,0,1,8
24,DMS4,d,0,0,2,4
25,ANC2,d,0,0,0,4
25,CMB4,d,0,1,2,12
25,ANC1,d,0,0,2,12
26,CMB3,d,0,,,
26,CMB1,d,0,,,
26,TBF3,d,0,,,
27,PTZ1,d,0,0,3,11
27,TBF2,d,0,3,9,14
27,PTZ4,d,0,0,1,11
28,water,d,0,0,0,0
28,TBF1,d,0,0,1,12
28,CMB2,d,0,0,1,10
29,ANC4,e,0,1,6,8
29,DMS3,e,0,2,8,10
29,CMB1,e,0,0,8,11
30,PTZ1,e,0,0,0,0
30,PTZ3,e,0,0,0,16
30,ANC2,e,0,1,2,15
31,TBF4,e,0,0,0,0
31,DMS1,e,0,0,0,1
31,CMB3,e,0,0,1,11
32,water,e,0,0,0,0
32,TBF3,e,0,1,2,11
32,PTZ4,e,0,0,1,10
33,TBF1,e,0,0,1,8
33,DMS2,e,0,0,0,0
33,TBF2,e,0,0,1,4
34,ANC3,e,0,0,2,5
34,DMS4,e,0,1,7,11
34,PTZ2,e,0,0,2,9
35,ANC1,e,0,0,1,7
35,CMB4,e,0,0,2,11
35,CMB2,e,0,0,2,9
36,CMB2,f,0,1,6,16
36,ANC2,f,0,0,6,15
36,TBF1,f,0,,,
37,CMB3,f,0,0,1,14
37,CMB4,f,0,0,0,2
37,PTZ1,f,0,0,1,10
38,water,f,0,0,0,0
38,ANC4,f,0,0,1,12
38,DMS2,f,0,0,1,12
39,PTZ4,f,0,0,1,11
39,TBF3,f,0,0,1,2
39,TBF4,f,0,0,4,14
40,DMS1,f,0,2,14,14
40,TBF2,f,0,3,14,14
40,PTZ3,f,0,0,17,17
41,ANC3,f,0,0,0,0
41,CMB1,f,0,0,1,7
41,ANC1,f,0,0,1,2
42,PTZ2,f,0,0,1,5
42,DMS4,f,0,0,1,2
42,DMS3,f,0,,0,0
43,CMB2,g,0,0,2,3
43,ANC2,g,0,0,0,0
43,CMB1,g,0,0,2,10
44,TBF4,g,0,0,0,2
44,DMS3,g,0,1,4,11
44,ANC1,g,0,0,2,7
45,DMS2,g,0,0,0,0
45,TBF3,g,0,1,4,11
45,ANC3,g,0,0,2,6
46,PTZ1,g,0,0,1,10
46,CMB3,g,0,0,1,11
46,TBF1,g,0,0,0,4
47,ANC4,g,0,0,0,0
47,water,g,0,0,0,0
47,TBF2,g,0,,1,8
48,CMB4,g,0,,,
48,DMS1,g,0,0,1,7
48,DMS4,g,0,,,
49,PTZ4,g,0,0,1,5
49,PTZ2,g,0,0,1,3
49,PTZ3,g,0,0,1,9
50,PTZ4,h,0,0,1,13
50,TBF2,h,0,1,3,14
50,ANC4,h,0,1,8,8
51,ANC2,h,0,0,0,2
51,CMB4,h,0,0,1,1
51,DMS3,h,0,0,1,8
52,TBF4,h,0,0,1,11
52,water,h,0,0,0,0
52,DMS1,h,0,0,1,12
53,PTZ1,h,0,0,2,10
53,TBF3,h,0,2,6,12
53,ANC1,h,0,0,2,6
54,TBF1,h,0,,,
54,CMB3,h,0,0,8,17
54,DMS2,h,0,,,
55,DMS4,h,0,0,1,2
55,PTZ3,h,0,1,2,11
55,CMB1,h,0,0,3,7
56,ANC3,h,0,0,1,4
56,PTZ2,h,0,0,1,6
56,CMB2,h,0,0,1,5
57,water,i,0,0,0,0
57,CMB1,i,0,0,3,6
57,PTZ4,i,0,0,1,7
58,DMS4,i,0,0,1,7
58,PTZ2,i,0,3,12,14
58,PTZ3,i,0,0,3,5
59,TBF3,i,0,2,3,12
59,ANC4,i,0,0,3,12
59,ANC1,i,0,0,1,3
60,ANC2,i,0,0,0,0
60,DMS2,i,0,0,2,3
60,ANC3,i,0,0,1,3
61,DMS1,i,0,,,
61,CMB3,i,0,0,4,12
61,PTZ1,i,0,,,
62,TBF4,i,0,0,3,14
62,TBF1,i,0,0,1,6
62,CMB4,i,0,,,
63,TBF2,i,0,0,1,3
63,CMB2,i,0,0,2,12
63,DMS3,i,0,0,2,6
64,DMS4,j,0,1,5,14
64,CMB2,j,0,0,4,7
64,TBF2,j,0,2,9,12
65,TBF1,j,0,0,1,1
65,CMB1,j,0,3,9,12
65,CMB4,j,0,0,2,4
66,ANC1,j,0,0,2,4
66,ANC2,j,0,0,1,14
66,TBF4,j,0,0,5,8
67,PTZ3,j,0,2,8,11
67,CMB3,j,0,0,0,0
67,water,j,0,,,
68,PTZ1,j,0,0,1,4
