Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR36459871_1	39.389977805056056	47.0	148.37011801938584	151	9.090909090909092	12010315.0
SRR36459871_2	33.913268992304666	47.0	148.38044422648366	151	9.090909090909092	12010315.0
SRR36459872_1	36.02845172102247	47.0	148.40169955395717	151	9.090909090909092	10241393.0
SRR36459872_2	30.863745462361607	47.0	148.41286170738687	151	9.090909090909092	10241393.0
SRR36459873_1	31.68391794623672	47.0	146.40168810501805	151	9.090909090909092	7303811.0
SRR36459873_2	27.50199961395201	47.0	146.419193897542	151	9.090909090909092	7303811.0
SRR36459874_1	36.75893200775058	47.0	146.41878575114976	151	9.090909090909092	10992129.0
SRR36459874_2	31.950997021393718	47.0	146.44182323551698	151	9.090909090909092	10992129.0
SRR36459875_1	34.62068474936987	47.0	146.9034300997245	151	9.090909090909092	9159034.0
SRR36459875_2	30.176935506377518	47.0	146.9215676019982	151	9.090909090909092	9159034.0
SRR36459876_1	38.28875140552	47.0	147.15677091050887	151	9.090909090909092	10258000.0
SRR36459876_2	33.542871678156914	47.0	147.17480785728213	151	9.090909090909092	10258000.0
SRR36459877_1	39.90212252361385	47.0	146.5001317969886	151	9.090909090909092	12667209.0
SRR36459877_2	34.82701173334635	47.0	146.51637539097996	151	9.090909090909092	12667209.0
SRR36459878_1	36.69502638687351	48.0	149.1417139343091	151	9.090909090909092	9259153.0
SRR36459878_2	34.65037553952244	48.0	149.1527002523881	151	9.090909090909092	9259153.0
SRR36459879_1	37.27050103517573	48.0	149.1350083806671	151	9.090909090909092	9637061.0
SRR36459879_2	34.98774323400551	48.0	149.1441128161376	151	9.090909090909092	9637061.0
SRR36459880_1	37.11602030722233	47.0	148.91067230110653	151	9.090909090909092	9648519.0
SRR36459880_2	35.39854530106683	47.0	148.91949178936167	151	9.090909090909092	9648519.0
SRR36459881_1	35.4422317004574	47.0	146.90992298056645	151	9.090909090909092	9353873.0
SRR36459881_2	30.975146996534747	47.0	146.92222494361425	151	9.090909090909092	9353873.0
SRR36459882_1	37.123866488489	47.0	149.1629119340633	151	9.090909090909092	9319483.0
SRR36459882_2	35.36049489116522	47.0	149.16824398950027	151	9.090909090909092	9319483.0
SRR36459883_1	36.880656967058165	47.0	148.95644520088982	151	9.090909090909092	9164501.0
SRR36459883_2	34.57226902285555	47.0	148.96517191716165	151	9.090909090909092	9164501.0
SRR36459884_1	41.859189888898044	48.0	149.3471322784224	151	9.090909090909092	12775107.0
SRR36459884_2	39.71796059276744	48.0	149.35427452779848	151	9.090909090909092	12775107.0
SRR36459885_1	31.353806242213594	48.0	139.64576225344783	151	9.090909090909092	8270917.0
SRR36459885_2	27.077382037499092	48.0	139.70991813846035	151	9.090909090909092	8270917.0
SRR36459886_1	39.18941652042338	48.0	148.0796307029548	151	9.090909090909092	12529426.0
SRR36459886_2	34.27886424179282	48.0	148.0900311794012	151	9.090909090909092	12529426.0
SRR36459887_1	39.65727743672218	47.0	148.28202251640616	151	9.090909090909092	12827802.0
SRR36459887_2	34.38159816584188	47.0	148.29296468716933	151	9.090909090909092	12827802.0
SRR36459888_1	35.38192535086641	47.0	147.9031436772037	151	9.090909090909092	10326760.0
SRR36459888_2	30.667224428965483	48.0	147.91686172623358	151	9.090909090909092	10326760.0
SRR36459889_1	35.55966691594706	47.0	147.82389711495057	151	9.090909090909092	9720596.0
SRR36459889_2	30.684861715366367	48.0	147.83782681638039	151	9.090909090909092	9720596.0
SRR36459890_1	38.37671270010915	47.0	147.99270035871373	151	9.090909090909092	11837294.0
SRR36459890_2	33.05071184691354	47.0	148.00615250411116	151	9.090909090909092	11837294.0
SRR36459891_1	37.16605260284276	47.0	148.0736675801179	151	9.090909090909092	11348900.0
SRR36459891_2	32.29151587107056	47.0	148.08410242402348	151	9.090909090909092	11348900.0
SRR36459892_1	38.2442867392101	47.0	145.75316666272616	151	9.090909090909092	11123777.0
SRR36459892_2	33.692328284355	47.0	145.77931956025367	151	9.090909090909092	11123777.0
SRR36459893_1	37.171606444926816	47.0	147.47844101029827	151	9.090909090909092	9810687.0
SRR36459893_2	32.25978793593282	47.0	147.49244747080402	151	9.090909090909092	9810687.0
